"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Healthcare Administrative Partners","PA","Business Associate","17693","12/03/2019","Hacking/IT Incident","Email","Yes",""
"RiverKids Pediatric Home Health","TX","Healthcare Provider","10000","12/02/2019","Hacking/IT Incident","Email","No",""
"Katherine Shaw Bethea Hospital ","IL","Healthcare Provider","1486","11/30/2019","Hacking/IT Incident","Email","No",""
"San Francisco VA Health Care System","CA","Healthcare Provider","735","11/29/2019","Theft","Other, Paper/Films","No",""
"Nebraska Medicine","NE","Healthcare Provider","1149","11/27/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Ivy Rehab Network, Inc. and its affiliated companies","NY","Healthcare Provider","125000","11/26/2019","Hacking/IT Incident","Email","No",""
"Penn-Mar Human Services","MD","Healthcare Provider","536","11/25/2019","Hacking/IT Incident","Email","No",""
"La Clinica de La Raza, Inc.","CA","Healthcare Provider","2477","11/22/2019","Theft","Other Portable Electronic Device","No",""
"Elizabeth Family Health ","CO","Healthcare Provider","28375","11/22/2019","Theft","Paper/Films","No",""
"Southeastern Minnesota Oral & Maxillofacial Surgery","MN","Healthcare Provider","80000","11/22/2019","Hacking/IT Incident","Network Server","No",""
"Ronald E. Rosenbaum DMD, PA","FL","Healthcare Provider","1522","11/21/2019","Hacking/IT Incident","Paper/Films","No",""
"VA St. Louis Health Care System","MO","Healthcare Provider","595","11/21/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Saint Francis Medical Center","MO","Healthcare Provider","107054","11/20/2019","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Human Services, Inc.","PA","Healthcare Provider","1559","11/18/2019","Hacking/IT Incident","Email","No",""
"Medical Park Family Care, Inc.","AK","Healthcare Provider","500","11/18/2019","Unauthorized Access/Disclosure","Electronic Medical Record","Yes",""
"Choice Cancer Care","TX","Healthcare Provider","14673","11/15/2019","Hacking/IT Incident","Email","No",""
"Ascension Borgess Hospital ","MI","Healthcare Provider","996","11/14/2019","Unauthorized Access/Disclosure","Email","No",""
"Gateway Health Plan LP","PA","Health Plan","753","11/14/2019","Hacking/IT Incident","Email","Yes",""
"Solara Medical Supplies, LLC","CA","Healthcare Provider","114007","11/13/2019","Hacking/IT Incident","Email","No",""
"Select Health Network","IN","Business Associate","3582","11/13/2019","Hacking/IT Incident","Email","Yes",""
"University of North Carolina at Chapel Hill School of Medicine","NC","Healthcare Provider","3716","11/12/2019","Hacking/IT Incident","Email","No",""
"Starling Physicians, P.C.","CT","Healthcare Provider","977","11/11/2019","Hacking/IT Incident","Email","No",""
"Arizona Dental Insurance Services, Inc. d.b.a. Delta Dental of Arizona","AZ","Health Plan","12886","11/08/2019","Hacking/IT Incident","Email","No",""
"Main Street Clinical Associates","NC","Healthcare Provider","3031","11/08/2019","Unauthorized Access/Disclosure","Laptop, Other Portable Electronic Device, Paper/Films","No",""
"Outreach Health Services","TX","Healthcare Provider","500","11/08/2019","Hacking/IT Incident","Email","No",""
"Kaiser Foundation Health Plan (Kaiser Permanente)","CA","Health Plan","515","11/07/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Aegis Medical Group","FL","Healthcare Provider","9800","11/07/2019","Unauthorized Access/Disclosure","Electronic Medical Record, Laptop, Network Server, Paper/Films","No",""
"The Brooklyn Hospital Center","NY","Healthcare Provider","26312","11/01/2019","Hacking/IT Incident","Network Server","No",""
"Washington University School of Medicine","MO","Healthcare Provider","3237","11/01/2019","Theft","Laptop","No",""
"Evergreen Psychological Services","TX","Healthcare Provider","4174","11/01/2019","Theft","Desktop Computer","No",""
"Utah Valley Eye Center","UT","Healthcare Provider","20418","11/01/2019","Hacking/IT Incident","Desktop Computer","No",""
"Prisma Health - Midlands","SC","Healthcare Provider","19060","10/28/2019","Hacking/IT Incident","Other","No",""
"The Guidance Center ","CA","Healthcare Provider","1189","10/28/2019","Hacking/IT Incident","Email","No",""
"Children's Minnesota","MN","Healthcare Provider","37942","10/25/2019","Unauthorized Access/Disclosure","Network Server","No",""
"Betty Jean Kerr People's Health Centers","MO","Healthcare Provider","152000","10/25/2019","Hacking/IT Incident","Network Server","No",""
"The Kroger Co., for itself and its affiliates and subsidiaries","OH","Healthcare Provider","4812","10/25/2019","Loss","Paper/Films","Yes",""
"The Kroger Co., for itself and its affiliates and subsidiaries","OH","Healthcare Provider","2752","10/25/2019","Loss","Paper/Films","No",""
"TOTS & TEENS PEDIATRICS","TX","Healthcare Provider","31787","10/24/2019","Hacking/IT Incident","Network Server","No",""
"The Affiliated Sante Group","MD","Healthcare Provider","679","10/24/2019","Theft","Laptop","No",""
"Wheatland Dental Care","IL","Healthcare Provider","955","10/24/2019","Hacking/IT Incident","Other","Yes",""
"Greater Cincinnati Pathologists, Inc.","OH","Healthcare Provider","7725","10/23/2019","Hacking/IT Incident","Email","No",""
"Kalispell Regional Healthcare","MT","Healthcare Provider","140209","10/22/2019","Hacking/IT Incident","Email","No",""
"Texas Health Harris Methodist Hospital Hurst-Euless-Bedford","TX","Healthcare Provider","4804","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Presbyterian Hospital Dallas","TX","Healthcare Provider","12415","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Harris Methodist Hospital Alliance","TX","Healthcare Provider","3784","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Presbyterian Hospital Denton","TX","Healthcare Provider","6688","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Harris Methodist Hospital Azle","TX","Healthcare Provider","2113","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Harris Methodist Hospital Cleburne","TX","Healthcare Provider","2737","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Harris Methodist Hospital Southwest Fort Worth","TX","Healthcare Provider","7478","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Presbyterian Hospital Rockwall","TX","Healthcare Provider","4789","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Harris Methodist Hospital Stephenville","TX","Healthcare Provider","1348","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Harris Methodist Southlake","TX","Healthcare Provider","525","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Arlington Memorial","TX","Healthcare Provider","6187","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Presbyterian Hospital Plano","TX","Healthcare Provider","9678","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
" Texas Health Harris Methodist Hospital Kaufman","TX","Healthcare Provider","2157","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Harris Methodist Hospital Fort Worth","TX","Healthcare Provider","14881","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Texas Health Presbyterian Hospital Allen","TX","Healthcare Provider","2993","10/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Self Regional Healthcare","SC","Healthcare Provider","2661","10/21/2019","Hacking/IT Incident","Email","No",""
"United States Medical Supply, LLC.","FL","Healthcare Provider","674","10/18/2019","Unauthorized Access/Disclosure","Email","No",""
"Roswell Park Comprehensive Cancer Center","NY","Healthcare Provider","584","10/18/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Chronic Care Management Inc. ","OH","Business Associate","612","10/17/2019","Unauthorized Access/Disclosure","Email","Yes",""
"Buckhead Smile Center, P.C.","GA","Healthcare Provider","1655","10/17/2019","Unauthorized Access/Disclosure","Email","No",""
"Artesia General Hospital","NM","Healthcare Provider","858","10/17/2019","Hacking/IT Incident","Desktop Computer","No",""
"Walmart Inc.","AR","Healthcare Provider","4211","10/17/2019","Loss","Other Portable Electronic Device","No",""
"Seattle Cancer Care Alliance","WA","Healthcare Provider","944","10/16/2019","Unauthorized Access/Disclosure","Email","No",""
"LaBorde Therapy Center LLC","LA","Healthcare Provider","7000","10/16/2019","Hacking/IT Incident","Email","No",""
"Hamlin & Burton Liability Management, Inc.","FL","Business Associate","1500","10/14/2019","Hacking/IT Incident","Email","Yes",""
"Southern New Mexico Neurosurgery LLC","NM","Healthcare Provider","11754","10/14/2019","Improper Disposal","Electronic Medical Record, Network Server","No",""
"Monterey Health Center","OR","Healthcare Provider","5400","10/11/2019","Hacking/IT Incident","Network Server","No",""
"Central Valley Regional Center","CA","Business Associate","15975","10/11/2019","Hacking/IT Incident","Email","Yes",""
"Abdul Memon, MD PLLC","AZ","Business Associate","1000","10/11/2019","Theft","Laptop","Yes",""
"Magnolia Pediatrics","LA","Healthcare Provider","11100","10/09/2019","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email, Network Server","No",""
"South Texas Dermatopathology Laboratory","TX","Healthcare Provider","15982","10/07/2019","Hacking/IT Incident","Network Server","No",""
"Arkansas Health Group","AR","Healthcare Provider","903","10/07/2019","Unauthorized Access/Disclosure","Other","Yes",""
"Euphemia R. Brumskine, MD, LLC","MD","Healthcare Provider","850","10/04/2019","Hacking/IT Incident","Laptop","No",""
"The Methodist Hospitals, Inc.","IN","Healthcare Provider","68039","10/04/2019","Hacking/IT Incident","Email","No",""
"Gary Smith and assoc inc DBA gary smith agency","MS","Health Plan","2000","10/04/2019","Unauthorized Access/Disclosure","Other","No",""
"Defense Health Headquarters","VA","Health Plan","3500","10/04/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"University of Alabama at Birmingham","AL","Healthcare Provider","19557","10/03/2019","Hacking/IT Incident","Email","No",""
"Humana Inc ","KY","Health Plan","756","10/02/2019","Unauthorized Access/Disclosure","Email","No",""
"Sioux Falls VA Health Care System","SD","Healthcare Provider","564","10/01/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Telecare Corporation","CA","Healthcare Provider","823","09/30/2019","Hacking/IT Incident","Email","No",""
"Goshen Health ","IN","Healthcare Provider","9160","09/30/2019","Hacking/IT Incident","Email","No",""
"CHI Health Orthopedics Clinic -Lakeside","NE","Healthcare Provider","48000","09/30/2019","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server","No",""
"Choctaw Nation Health Service Authority","OK","Healthcare Provider","500","09/27/2019","Hacking/IT Incident","Email","No",""
"Beatitudes Campus ","AZ","Healthcare Provider","514","09/27/2019","Hacking/IT Incident","Email","No",""
"Cancer Treatment Centers of America (CTCA) at Southeastern Regional Medical Center","GA","Healthcare Provider","3290","09/27/2019","Hacking/IT Incident","Email","No",""
"Calibre CPA Group","MD","Business Associate","912","09/27/2019","Hacking/IT Incident","Email, Network Server","Yes",""
"Kaiser Permanente","CA","Healthcare Provider","990","09/26/2019","Hacking/IT Incident","Email","No",""
"Women's Care Florida, LLC","FL","Healthcare Provider","528188","09/25/2019","Hacking/IT Incident","Network Server","No",""
"Perfect Teeth Yale, P.C.","CO","Healthcare Provider","15000","09/19/2019","Loss","Other Portable Electronic Device","No",""
"Chirobody","WA","Healthcare Provider","525","09/19/2019","Unauthorized Access/Disclosure","Desktop Computer","No",""
"Premier Gastroenterology Specialists","OH","Healthcare Provider","1260","09/18/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Wood Ranch Medical","CA","Healthcare Provider","5835","09/18/2019","Hacking/IT Incident","Network Server","No",""
"Little Rock Plastic Surgery, P.A.","AR","Healthcare Provider","6300","09/18/2019","Unauthorized Access/Disclosure","Email","No",""
"Medico of South Carolina, Inc.","SC","Business Associate","6489","09/17/2019","Unauthorized Access/Disclosure","Network Server","Yes",""
"Magellan Healthcare","MD","Business Associate","55637","09/17/2019","Hacking/IT Incident","Email","Yes",""
"National Imaging Associates","MD","Business Associate","589","09/17/2019","Hacking/IT Incident","Email","Yes",""
"Intramural Practice Plan - Medical Sciences Campus - University of Puerto Rico","","Healthcare Provider","439753","09/16/2019","Hacking/IT Incident","Network Server","No",""
"Paragon Health, P.C.","MI","Healthcare Provider","4674","09/16/2019","Hacking/IT Incident","Email","No",""
"Bates Technical College","WA","Healthcare Provider","2112","09/13/2019","Hacking/IT Incident","Network Server","No",""
"Sweetser ","ME","Healthcare Provider","22000","09/13/2019","Hacking/IT Incident","Email","No",""
"Kilgore Vision Center","AR","Healthcare Provider","40000","09/13/2019","Hacking/IT Incident","Network Server","No",""
"Rocky Mountain Health Maintenance Organization, Inc.","CO","Health Plan","1835","09/12/2019","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Peoples Injury Network Northwest","WA","Healthcare Provider","27000","09/12/2019","Hacking/IT Incident","Network Server","No",""
"Sarrell Dental","AL","Healthcare Provider","391472","09/12/2019","Hacking/IT Incident","Network Server","No",""
"Pima County","AZ","Health Plan","1498","09/12/2019","Hacking/IT Incident","Email","Yes",""
"June E. Nylen Cancer Center","IA","Healthcare Provider","927","09/11/2019","Unauthorized Access/Disclosure","Email","No",""
"Berry Family Services","TX","Healthcare Provider","1751","09/08/2019","Hacking/IT Incident","Network Server","No",""
"Premier Family Medical","UT","Healthcare Provider","320000","09/07/2019","Hacking/IT Incident","Network Server","No",""
"Prisma - Midlands ","SC","Healthcare Provider","2770","09/06/2019","Theft","Paper/Films","No",""
"Shore Specialty Consultants Pulmonology Group","NJ","Healthcare Provider","9700","09/06/2019","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Alive Hospice","TN","Healthcare Provider","533","09/06/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Simmons Family Chiropractic","GA","Healthcare Provider","2000","09/06/2019","Theft","Laptop, Other Portable Electronic Device","No",""
"Health Care Service Corporation","IL","Health Plan","998","09/06/2019","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Rural Health Access Corporation dba Coalfield Health Center","WV","Healthcare Provider","874","09/06/2019","Unauthorized Access/Disclosure","Email","Yes",""
"East Central Indiana School Trust","IN","Health Plan","3259","09/03/2019","Hacking/IT Incident","Email","No",""
"Fraser","MN","Healthcare Provider","2890","08/30/2019","Hacking/IT Incident","Email","No",""
"Fedcap Rehabilitation Services, Inc.","NY","Healthcare Provider","2158","08/29/2019","Hacking/IT Incident","Email","No",""
